id,title,Pinterest board,description,link,media URL,availability,condition,price,sale_price,brand,google_product_category,additional_image_link,age_group,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,product_type,item_group_id,gender
200,Lite-Cube - Spinner,Best Other Products,"Explore Lite-Cube - Spinner in the other category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/other/page1.html,https://m.media-amazon.com/images/I/91Ea1vU0PNL._AC_UL320_.jpg,in stock,new,508.55 USD,508.55 USD,TechPickHub,Electronics,https://m.media-amazon.com/images/I/91Ea1vU0PNL._AC_UL320_.jpg,adult,other,best-seller,amazon-products,techpickhub,shopping,other,200,unisex
201,Replacement Luggage Wheel Suitcase Repair Spinner Wheels Luggage Accessories (W149),Best Luggage Products,"Explore Replacement Luggage Wheel Suitcase Repair Spinner Wheels Luggage Accessories (W149) in the luggage category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/luggage/page2.html,https://m.media-amazon.com/images/I/51U8DEZEOyL._AC_UL320_.jpg,in stock,new,19.99 USD,19.99 USD,TechPickHub,Apparel & Accessories > Luggage & Bags,https://m.media-amazon.com/images/I/51U8DEZEOyL._AC_UL320_.jpg,adult,luggage,best-seller,amazon-products,techpickhub,shopping,luggage,201,unisex
202,"Water Resistant Print Trolley Case, Black, Size L: Fit 28-30 Inch Luggage",Best Luggage Products,"Explore Water Resistant Print Trolley Case, Black, Size L: Fit 28-30 Inch Luggage in the luggage category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/luggage/page2.html,https://m.media-amazon.com/images/I/61UMoXBDI-L._AC_UL320_.jpg,in stock,new,24.99 USD,24.99 USD,TechPickHub,Apparel & Accessories > Luggage & Bags,https://m.media-amazon.com/images/I/61UMoXBDI-L._AC_UL320_.jpg,adult,luggage,best-seller,amazon-products,techpickhub,shopping,luggage,202,unisex
203,Designer 20 Inch Carry On - Expandable (ABS + PC) Hardside Luggage - Lightweight Durable Suitcase With 8-Rolling Spinner Wheels for Women (Sunflower),Best Pc Products,"Explore Designer 20 Inch Carry On - Expandable (ABS + PC) Hardside Luggage - Lightweight Durable Suitcase With 8-Rolling Spinner Wheels for Women (Sunflower) in the pc category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/pc/page1.html,https://m.media-amazon.com/images/I/81C2uXhvwlL._AC_UL320_.jpg,in stock,new,142.49 USD,142.49 USD,TechPickHub,Electronics > Computers,https://m.media-amazon.com/images/I/81C2uXhvwlL._AC_UL320_.jpg,adult,pc,best-seller,amazon-products,techpickhub,shopping,pc,203,unisex
204,Luggage Sets Expandable ABS Hardshell 3pcs Clearance Luggage Hardside Lightweight Durable Suitcase sets Spinner Wheels Suitcase with TSA Lock (Gray),Best Pc Products,"Explore Luggage Sets Expandable ABS Hardshell 3pcs Clearance Luggage Hardside Lightweight Durable Suitcase sets Spinner Wheels Suitcase with TSA Lock (Gray) in the pc category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/pc/page1.html,https://m.media-amazon.com/images/I/71IzyUnC6CL._AC_UL320_.jpg,in stock,new,179.99 USD,179.99 USD,TechPickHub,Electronics > Computers,https://m.media-amazon.com/images/I/71IzyUnC6CL._AC_UL320_.jpg,adult,pc,best-seller,amazon-products,techpickhub,shopping,pc,204,unisex
205,"Disney Hardside Luggage with Spinner Wheels, Multicolor, 28""",Best Luggage Products,"Explore Disney Hardside Luggage with Spinner Wheels, Multicolor, 28"" in the luggage category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/luggage/page2.html,https://m.media-amazon.com/images/I/91zLUzDJaoL._AC_UL320_.jpg,in stock,new,144.79 USD,144.79 USD,TechPickHub,Apparel & Accessories > Luggage & Bags,https://m.media-amazon.com/images/I/91zLUzDJaoL._AC_UL320_.jpg,adult,luggage,best-seller,amazon-products,techpickhub,shopping,luggage,205,unisex
206,"Divinity II 32"" Softside Checked 8 Wheel Spinner, Black",Best Other Products,"Explore Divinity II 32"" Softside Checked 8 Wheel Spinner, Black in the other category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/other/page1.html,https://m.media-amazon.com/images/I/61kz6iYK3mL._AC_UL320_.jpg,in stock,new,130.0 USD,130.0 USD,TechPickHub,Electronics,https://m.media-amazon.com/images/I/61kz6iYK3mL._AC_UL320_.jpg,adult,other,best-seller,amazon-products,techpickhub,shopping,other,206,unisex
207,26 Inch Checked Luggage Hard Shell Suitcases with Wheels Tsa Approved Luggage Large Suitcase Travel Luggage for Women Men Rolling Luggage Bags for Weekender-Bamboo Green,Best Luggage Products,"Explore 26 Inch Checked Luggage Hard Shell Suitcases with Wheels Tsa Approved Luggage Large Suitcase Travel Luggage for Women Men Rolling Luggage Bags for Weekender-Bamboo Green in the luggage category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/luggage/page2.html,https://m.media-amazon.com/images/I/71HlrY0SHeL._AC_UL320_.jpg,in stock,new,239.99 USD,239.99 USD,TechPickHub,Apparel & Accessories > Luggage & Bags,https://m.media-amazon.com/images/I/71HlrY0SHeL._AC_UL320_.jpg,adult,luggage,best-seller,amazon-products,techpickhub,shopping,luggage,207,unisex
208,Bellagio 2.0 Spinner Trunk - 27 Inch - Luxury Bags for Women and Men - TSA Approved Luggage - Olive,Best Luggage Products,"Explore Bellagio 2.0 Spinner Trunk - 27 Inch - Luxury Bags for Women and Men - TSA Approved Luggage - Olive in the luggage category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/luggage/page2.html,https://m.media-amazon.com/images/I/71fQMxyorhL._AC_UL320_.jpg,in stock,new,730.0 USD,730.0 USD,TechPickHub,Apparel & Accessories > Luggage & Bags,https://m.media-amazon.com/images/I/71fQMxyorhL._AC_UL320_.jpg,adult,luggage,best-seller,amazon-products,techpickhub,shopping,luggage,208,unisex
209,"Lykke 32"" Softside Checked 8 Wheel Spinner, Black",Best Other Products,"Explore Lykke 32"" Softside Checked 8 Wheel Spinner, Black in the other category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/other/page1.html,https://m.media-amazon.com/images/I/712RxoyJ7pL._AC_UL320_.jpg,in stock,new,169.99 USD,169.99 USD,TechPickHub,Electronics,https://m.media-amazon.com/images/I/712RxoyJ7pL._AC_UL320_.jpg,adult,other,best-seller,amazon-products,techpickhub,shopping,other,209,unisex
210,"Luggage Suitcase with Spinner Wheels, Hardside Checked Luggage with TSA Lock, 24 Inch Medium Travel Suitcase (BLACK,4PCS)",Best Pc Products,"Explore Luggage Suitcase with Spinner Wheels, Hardside Checked Luggage with TSA Lock, 24 Inch Medium Travel Suitcase (BLACK,4PCS) in the pc category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/pc/page1.html,https://m.media-amazon.com/images/I/61URRBKoDCL._AC_UL320_.jpg,in stock,new,79.0 USD,79.0 USD,TechPickHub,Electronics > Computers,https://m.media-amazon.com/images/I/61URRBKoDCL._AC_UL320_.jpg,adult,pc,best-seller,amazon-products,techpickhub,shopping,pc,210,unisex
211,"Hardside Checked Luggage 30"" Suitcase Durable, Expandable Design with 360° Double Spinner Wheels, TSA Lock, Telescoping Handle, Secure Zipper and Internal Pockets (Blue)",Best Luggage Products,"Explore Hardside Checked Luggage 30"" Suitcase Durable, Expandable Design with 360° Double Spinner Wheels, TSA Lock, Telescoping Handle, Secure Zipper and Internal Pockets (Blue) in the luggage category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/luggage/page2.html,https://m.media-amazon.com/images/I/61uecHDCteL._AC_UL320_.jpg,in stock,new,149.0 USD,149.0 USD,TechPickHub,Apparel & Accessories > Luggage & Bags,https://m.media-amazon.com/images/I/61uecHDCteL._AC_UL320_.jpg,adult,luggage,best-seller,amazon-products,techpickhub,shopping,luggage,211,unisex
212,Unisex-Adult 6297 Hardside Expandable Luggage with Spinner Wheels,Best Luggage Products,"Explore Unisex-Adult 6297 Hardside Expandable Luggage with Spinner Wheels in the luggage category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/luggage/page2.html,https://m.media-amazon.com/images/I/51yjuhoShqL._AC_UL320_.jpg,in stock,new,119.99 USD,119.99 USD,TechPickHub,Apparel & Accessories > Luggage & Bags,https://m.media-amazon.com/images/I/51yjuhoShqL._AC_UL320_.jpg,adult,luggage,best-seller,amazon-products,techpickhub,shopping,luggage,212,unisex
213,"ABS Hardside Medium Checked Luggage, Suitcase with Double Spinner Wheels,TSA Travel Luggage Locks(24 Inch,Black)",Best Luggage Products,"Explore ABS Hardside Medium Checked Luggage, Suitcase with Double Spinner Wheels,TSA Travel Luggage Locks(24 Inch,Black) in the luggage category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/luggage/page2.html,https://m.media-amazon.com/images/I/71fJA30mUlL._AC_UL320_.jpg,in stock,new,89.98 USD,89.98 USD,TechPickHub,Apparel & Accessories > Luggage & Bags,https://m.media-amazon.com/images/I/71fJA30mUlL._AC_UL320_.jpg,adult,luggage,best-seller,amazon-products,techpickhub,shopping,luggage,213,unisex
214,Travel Softside 28 Inch Luggage with Spinner Wheels Lightweight Expandable Large Suitcase 8-wheel Spinners,Best Luggage Products,"Explore Travel Softside 28 Inch Luggage with Spinner Wheels Lightweight Expandable Large Suitcase 8-wheel Spinners in the luggage category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/luggage/page2.html,https://m.media-amazon.com/images/I/51P+rtvdA5L._AC_UL320_.jpg,in stock,new,109.99 USD,109.99 USD,TechPickHub,Apparel & Accessories > Luggage & Bags,https://m.media-amazon.com/images/I/51P+rtvdA5L._AC_UL320_.jpg,adult,luggage,best-seller,amazon-products,techpickhub,shopping,luggage,214,unisex
215,"Crimson 21"" Hardside Carry-on Spinner Luggage,Telescoping Handles, Metallic Blue, One Size",Best Luggage Products,"Explore Crimson 21"" Hardside Carry-on Spinner Luggage,Telescoping Handles, Metallic Blue, One Size in the luggage category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/luggage/page2.html,https://m.media-amazon.com/images/I/81-QXuxKvwL._AC_UL320_.jpg,in stock,new,110.28 USD,110.28 USD,TechPickHub,Apparel & Accessories > Luggage & Bags,https://m.media-amazon.com/images/I/81-QXuxKvwL._AC_UL320_.jpg,adult,luggage,best-seller,amazon-products,techpickhub,shopping,luggage,215,unisex
216,Carry On Luggage 20'' Travel Suitcase Rolling Luggage Aluminum Frame PC Hardside with Spinner Wheels & TSA Lock - Smoke White,Best Pc Products,"Explore Carry On Luggage 20'' Travel Suitcase Rolling Luggage Aluminum Frame PC Hardside with Spinner Wheels & TSA Lock - Smoke White in the pc category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/pc/page1.html,https://m.media-amazon.com/images/I/51Wbp530tbL._AC_UL320_.jpg,in stock,new,169.99 USD,169.99 USD,TechPickHub,Electronics > Computers,https://m.media-amazon.com/images/I/51Wbp530tbL._AC_UL320_.jpg,adult,pc,best-seller,amazon-products,techpickhub,shopping,pc,216,unisex
217,"Travel Luggage Cover Spandex Suitcase Protector Washable Baggage Covers (L (for 25-28 inch luggage), Go Travel)",Best Luggage Products,"Explore Travel Luggage Cover Spandex Suitcase Protector Washable Baggage Covers (L (for 25-28 inch luggage), Go Travel) in the luggage category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/luggage/page2.html,https://m.media-amazon.com/images/I/61ivhzu3XDL._AC_UL320_.jpg,in stock,new,17.99 USD,17.99 USD,TechPickHub,Apparel & Accessories > Luggage & Bags,https://m.media-amazon.com/images/I/61ivhzu3XDL._AC_UL320_.jpg,adult,luggage,best-seller,amazon-products,techpickhub,shopping,luggage,217,unisex
218,"PP Hardside Luggage with Spinner Wheels Suitcase with TSA Lock, Teal Blue, Checked-Large 28-Inch",Best Luggage Products,"Explore PP Hardside Luggage with Spinner Wheels Suitcase with TSA Lock, Teal Blue, Checked-Large 28-Inch in the luggage category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/luggage/page2.html,https://m.media-amazon.com/images/I/612aPQlpOxL._AC_UL320_.jpg,in stock,new,89.99 USD,89.99 USD,TechPickHub,Apparel & Accessories > Luggage & Bags,https://m.media-amazon.com/images/I/612aPQlpOxL._AC_UL320_.jpg,adult,luggage,best-seller,amazon-products,techpickhub,shopping,luggage,218,unisex
219,"Mountain Products Quadro Pro Hardcase, 22, Deep Navy",Best Other Products,"Explore Mountain Products Quadro Pro Hardcase, 22, Deep Navy in the other category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/other/page1.html,https://m.media-amazon.com/images/I/71ieblsSXtL._AC_UL320_.jpg,in stock,new,188.13 USD,188.13 USD,TechPickHub,Electronics,https://m.media-amazon.com/images/I/71ieblsSXtL._AC_UL320_.jpg,adult,other,best-seller,amazon-products,techpickhub,shopping,other,219,unisex
220,Xl Luggage Cover Travel Suitcase Protectors for Travel Fits 29 30 31 32 Inch,Best Luggage Products,"Explore Xl Luggage Cover Travel Suitcase Protectors for Travel Fits 29 30 31 32 Inch in the luggage category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/luggage/page2.html,https://m.media-amazon.com/images/I/61n-6+HzI0L._AC_UL320_.jpg,in stock,new,19.99 USD,19.99 USD,TechPickHub,Apparel & Accessories > Luggage & Bags,https://m.media-amazon.com/images/I/61n-6+HzI0L._AC_UL320_.jpg,adult,luggage,best-seller,amazon-products,techpickhub,shopping,luggage,220,unisex
221,"Design Pattern 28"" Luggage Softside Expandable With Double Spinner Wheels, Large Lightweight Suitcase Checked Bag For Women",Best Luggage Products,"Explore Design Pattern 28"" Luggage Softside Expandable With Double Spinner Wheels, Large Lightweight Suitcase Checked Bag For Women in the luggage category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/luggage/page2.html,https://m.media-amazon.com/images/I/81vio2yxqNL._AC_UL320_.jpg,in stock,new,149.99 USD,149.99 USD,TechPickHub,Apparel & Accessories > Luggage & Bags,https://m.media-amazon.com/images/I/81vio2yxqNL._AC_UL320_.jpg,adult,luggage,best-seller,amazon-products,techpickhub,shopping,luggage,221,unisex
222,"Luggage Cover for Suitcase Tsa Approved,Plastic Clear Travel Suitcase Protector Cover for 28 inch lugggage,Waterproof.",Best Luggage Products,"Explore Luggage Cover for Suitcase Tsa Approved,Plastic Clear Travel Suitcase Protector Cover for 28 inch lugggage,Waterproof. in the luggage category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/luggage/page2.html,https://m.media-amazon.com/images/I/61Jvt9h8pdL._AC_UL320_.jpg,in stock,new,15.99 USD,15.99 USD,TechPickHub,Apparel & Accessories > Luggage & Bags,https://m.media-amazon.com/images/I/61Jvt9h8pdL._AC_UL320_.jpg,adult,luggage,best-seller,amazon-products,techpickhub,shopping,luggage,222,unisex
