id,title,Pinterest board,description,link,image_link,availability,condition,price,sale_price,brand,google_product_category,additional_image_link,age_group,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,product_type,item_group_id,gender
195220,"SPARK & WOW Bear Activity Wall Panel - 18m+ - Toddler Activity Center - Wall-Mounted Toy - Busy Board Decor for Bedrooms, Daycares and Play Areas",Best Other Products,"Explore SPARK & WOW Bear Activity Wall Panel - 18m+ - Toddler Activity Center - Wall-Mounted Toy - Busy Board Decor for Bedrooms, Daycares and Play Areas in the other category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/other/page1371.html,https://m.media-amazon.com/images/I/71lxBHXNFJL._AC_UL320_.jpg,in stock,new,98.99 USD,98.99 USD,TechPickHub,Electronics,https://m.media-amazon.com/images/I/71lxBHXNFJL._AC_UL320_.jpg,adult,other,best-seller,amazon-products,techpickhub,shopping,other,195220,unisex
195221,Otamatone [Kumamon] Bear Mascot Japanese Electronic Musical Instrument Synthesizer by Cube / Maywa Denki,Best Other Products,"Explore Otamatone [Kumamon] Bear Mascot Japanese Electronic Musical Instrument Synthesizer by Cube / Maywa Denki in the other category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/other/page1371.html,https://m.media-amazon.com/images/I/519oPx2FqUL._AC_UL320_.jpg,in stock,new,38.0 USD,38.0 USD,TechPickHub,Electronics,https://m.media-amazon.com/images/I/519oPx2FqUL._AC_UL320_.jpg,adult,other,best-seller,amazon-products,techpickhub,shopping,other,195221,unisex
195222,Biottro Wooden Pattern Blocks Geometric Shape Color Matching Game with Cards Board Wooden Building Blocks Stacking Block Shape Puzzle Educational Learning Montessori Toys for Toddlers Boys Girls,Best Other Products,"Explore Biottro Wooden Pattern Blocks Geometric Shape Color Matching Game with Cards Board Wooden Building Blocks Stacking Block Shape Puzzle Educational Learning Montessori Toys for Toddlers Boys Girls in the other category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/other/page1371.html,https://m.media-amazon.com/images/I/71mcIZQjKpL._AC_UL320_.jpg,in stock,new,14.99 USD,14.99 USD,TechPickHub,Electronics,https://m.media-amazon.com/images/I/71mcIZQjKpL._AC_UL320_.jpg,adult,other,best-seller,amazon-products,techpickhub,shopping,other,195222,unisex
195223,"Spinning Top Accurate Metal Spinner Top Desktop Gyro Toys Little Fidget Toys (Silver,Gold, Black)",Best Pc Products,"Explore Spinning Top Accurate Metal Spinner Top Desktop Gyro Toys Little Fidget Toys (Silver,Gold, Black) in the pc category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/pc/page140.html,https://m.media-amazon.com/images/I/51m5HyNSITL._AC_UL320_.jpg,in stock,new,12.99 USD,12.99 USD,TechPickHub,Electronics > Computers,https://m.media-amazon.com/images/I/51m5HyNSITL._AC_UL320_.jpg,adult,pc,best-seller,amazon-products,techpickhub,shopping,pc,195223,unisex
195224,"LEGO DUPLO Town Barn, Tractor & Farm Animal Care 10952 Playset with People Figures and Cute Pony, Pig, Dog, Sheep, Cow, Calf, Rooster and Chicken Toys; Great Learning Toy, New 2021 (97 Pieces)",Best Other Products,"Explore LEGO DUPLO Town Barn, Tractor & Farm Animal Care 10952 Playset with People Figures and Cute Pony, Pig, Dog, Sheep, Cow, Calf, Rooster and Chicken Toys; Great Learning Toy, New 2021 (97 Pieces) in the other category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/other/page1371.html,https://m.media-amazon.com/images/I/81E2sfqt08L._AC_UL320_.jpg,in stock,new,0.0 USD,0.0 USD,TechPickHub,Electronics,https://m.media-amazon.com/images/I/81E2sfqt08L._AC_UL320_.jpg,adult,other,best-seller,amazon-products,techpickhub,shopping,other,195224,unisex
195225,PlayGo Kids Animal Stick & Stack Blocks Toy Eco-Friendly & Non-Toxic Early Childhood Development Toys for Fine Motor Skills Just Perfect for Your Little One 12 Months & Older,Best Other Products,"Explore PlayGo Kids Animal Stick & Stack Blocks Toy Eco-Friendly & Non-Toxic Early Childhood Development Toys for Fine Motor Skills Just Perfect for Your Little One 12 Months & Older in the other category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/other/page1371.html,https://m.media-amazon.com/images/I/8177uX33zbL._AC_UL320_.jpg,in stock,new,14.99 USD,14.99 USD,TechPickHub,Electronics,https://m.media-amazon.com/images/I/8177uX33zbL._AC_UL320_.jpg,adult,other,best-seller,amazon-products,techpickhub,shopping,other,195225,unisex
195226,"Learning Resources LSP0949-UK MathLink Cubes Numberblocks 1-10 Activity Set, Early Years Maths Learning, Build, Learn & Play in The Classroom & at Home.",Best Other Products,"Explore Learning Resources LSP0949-UK MathLink Cubes Numberblocks 1-10 Activity Set, Early Years Maths Learning, Build, Learn & Play in The Classroom & at Home. in the other category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/other/page1371.html,https://m.media-amazon.com/images/I/71W1j76yVtL._AC_UL320_.jpg,in stock,new,46.76 USD,46.76 USD,TechPickHub,Electronics,https://m.media-amazon.com/images/I/71W1j76yVtL._AC_UL320_.jpg,adult,other,best-seller,amazon-products,techpickhub,shopping,other,195226,unisex
195227,"Nuby Natural Wood & Silicone Teether: 3 M+, Heart Bracelet, Pink",Best Other Products,"Explore Nuby Natural Wood & Silicone Teether: 3 M+, Heart Bracelet, Pink in the other category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/other/page1371.html,https://m.media-amazon.com/images/I/716u2eMedsL._AC_UL320_.jpg,in stock,new,8.27 USD,8.27 USD,TechPickHub,Electronics,https://m.media-amazon.com/images/I/716u2eMedsL._AC_UL320_.jpg,adult,other,best-seller,amazon-products,techpickhub,shopping,other,195227,unisex
195228,Little Tikes School Bus Climber,Best Other Products,"Explore Little Tikes School Bus Climber in the other category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/other/page1371.html,https://m.media-amazon.com/images/I/71xPwRvoQnL._AC_UL320_.jpg,in stock,new,189.99 USD,189.99 USD,TechPickHub,Electronics,https://m.media-amazon.com/images/I/71xPwRvoQnL._AC_UL320_.jpg,adult,other,best-seller,amazon-products,techpickhub,shopping,other,195228,unisex
195229,"Mobo Cruiser Wobo Rocking Horse Ride On & Baby Balance Bike,5 inches",Best Other Products,"Explore Mobo Cruiser Wobo Rocking Horse Ride On & Baby Balance Bike,5 inches in the other category on TechPickHub. Discover trending Amazon.com products, shopping deals, buyer favorites and top-rated ecommerce products.",https://aamirsidque.github.io/TechPickHub/other/page1371.html,https://m.media-amazon.com/images/I/81qYHxZDulL._AC_UL320_.jpg,in stock,new,99.99 USD,99.99 USD,TechPickHub,Electronics,https://m.media-amazon.com/images/I/81qYHxZDulL._AC_UL320_.jpg,adult,other,best-seller,amazon-products,techpickhub,shopping,other,195229,unisex
